lon,lat,time
18.7101108999949,54.17692609999825,15.36
18.710105000005168,54.17692050000175,15.4
18.710098999994937,54.17691489999826,15.44
18.71009270000531,54.17690960000148,15.48
18.710086399994715,54.176904199998624,15.52
18.710080000005355,54.176898900001284,15.56
18.71007339999484,54.176893599998714,15.6
18.7100665000054,54.176888600001014,15.64
18.710059499994706,54.17688359999898,15.68
18.71005240000536,54.17687870000093,15.72
18.710045099994833,54.176873799999086,15.76
18.710037800005146,54.17686890000092,15.8
18.710029899995394,54.176864099999,15.84
18.7100221000045,54.17685960000073,15.88
18.7100141999956,54.176855099999266,15.92
18.710006100004556,54.17685080000055,15.96
18.70999789999555,54.17684659999936,16.0
18.709989800004347,54.17684260000046,16.04
18.70998169999567,54.17683869999945,16.08
18.709973500004402,54.17683480000055,16.12
18.709965299995616,54.17683099999937,16.16
18.709956900004546,54.17682730000054,16.2
18.70994829999565,54.17682359999946,16.24
18.70993980000425,54.176820300000195,16.28
18.70993129999577,54.17681699999981,16.32
18.709922900004127,54.17681390000001,16.36
18.70991429999606,54.1768108999999,16.4
18.709905700003926,54.1768079000001,16.44
18.70989699999618,54.176805099999726,16.48
18.709888300003808,54.17680230000027,16.52
18.709879599996206,54.17679949999973,16.56
18.709871000003695,54.17679680000018,16.6
18.709862399996318,54.17679439999955,16.64
18.709853800003668,54.176792100000355,16.68
18.709844999996523,54.17678969999973,16.72
18.709836300003378,54.17678730000027,16.76
18.70982749999672,54.17678499999965,16.8
18.70981850000344,54.17678300000009,16.84
18.709809599996486,54.1767809,16.88
18.709800500003677,54.17677909999974,16.92
18.709791399996337,54.176777200000345,16.96
18.709782100003824,54.17677579999922,17.0
18.709772599996366,54.17677470000052,17.04
18.709763300003445,54.17677339999966,17.08
18.709753899996652,54.17677210000034,17.12
18.709744400003423,54.17677109999941,17.16
18.709734899996594,54.17677020000051,17.2
18.709725600003217,54.17676959999923,17.24
18.709716199996876,54.17676900000077,17.28
18.709706800003108,54.17676839999924,17.32
18.70969729999699,54.176768100000494,17.36
18.709687800003,54.17676759999968,17.4
18.709678199997096,54.17676749999997,17.44
18.709668700002805,54.17676740000003,17.48
18.70965919999721,54.17676739999989,17.52
18.70964970000278,54.17676769999985,17.56
18.709640099997316,54.176768299999885,17.6
18.709630600002587,54.17676900000003,17.64
18.709620999997508,54.17676979999989,17.68
18.70961140000248,54.17677079999994,17.72
18.709601999997354,54.176771999999886,17.76
18.709592600002637,54.17677320000011,17.8
18.709583299997284,54.176774399999886,17.84
18.709574000002704,54.17677589999985,17.88
18.709564799997217,54.176777500000064,17.92
18.709555600002773,54.176779299999765,17.96
18.709546499997153,54.17678120000015,18.0
18.70953750000275,54.17678329999968,18.04
18.709528299997434,54.17678540000032,18.08
18.70951930000238,54.17678769999951,18.12
18.70951029999763,54.1767901000004,18.16
18.709501400002278,54.17679249999959,18.2
18.709492699997558,54.17679520000014,18.24
18.70948430000217,54.1767981999996,18.28
18.709475799997925,54.17680110000048,18.32
18.70946740000198,54.17680419999934,18.36
18.709459199997855,54.176807600000394,18.4
18.70945130000188,54.176811199999435,18.44
18.70944349999804,54.176814700000655,18.48
18.709436000001688,54.176818499999094,18.52
18.70942859999823,54.17682230000091,18.56
18.709421300001676,54.17682639999884,18.6
18.709414199998157,54.17683050000117,18.64
18.709407200001753,54.17683469999876,18.68
18.709400799997734,54.1768394000008,18.72
18.70939440000226,54.176843999999285,18.76
18.70938799999775,54.17684890000045,18.8
18.709382000001895,54.176853599999724,18.84
18.70937619999794,54.17685860000002,18.88
18.709370400002054,54.1768636999999,18.92
18.709364999997604,54.176868999999925,18.96
18.709360000002036,54.17687439999999,19.0
18.70935499999797,54.1768797000001,19.04
18.709350500001584,54.17688519999973,19.08
18.709345899998507,54.17689070000027,19.12
18.709341600001224,54.17689619999973,19.16
18.709337499998608,54.17690180000019,19.2
18.709333900000953,54.17690729999991,19.24
18.70933059999879,54.17691299999992,19.28
18.709328000000596,54.176918899999905,19.32
18.709325699999145,54.17692470000018,19.36
18.709323500000764,54.17693049999982,19.4
18.709321299999235,54.176936799999744,19.44
18.70931980000015,54.17694300000034,19.48
18.709318399999766,54.17694929999957,19.52
18.709317999999364,54.176955200000776,19.56
18.709317600000634,54.176961399998966,19.6
18.709317599999018,54.17696760000103,19.64
18.70931840000028,54.176974099998716,19.68
18.709319699999288,54.17698090000102,19.72
18.709321200000538,54.17698749999916,19.76
18.709322699999465,54.1769938000011,19.8
18.709324500000275,54.17700029999873,19.84
18.709326899999205,54.17700660000144,19.88
18.709329400000705,54.177013299998215,19.92
18.709332099999123,54.17701980000195,19.96
18.70933510000061,54.17702619999814,20.0
18.709338499999042,54.17703250000194,20.04
18.709342800000172,54.177038799998066,20.08
18.70934699999992,54.17704500000201,20.12
18.709351599999735,54.17705109999808,20.16
18.709356400000093,54.17705720000191,20.2
18.709361299999824,54.177063299998096,20.24
18.70936649999992,54.1770694000019,20.28
